sStart Time, Thu Feb 23 14:42:53 GMT-0700 2023,,
Energy calibration,  Offset: -0.06771931052207947, Slope: 0.1000848338007927, Quadratic: 0
Live Time (s),433.07,,
Real Time (s),522.36,,
Elapsed Computational,1000000,,
Spectrum,,,
Channel, Energy (keV), Counts,
2245,224.6227326,980,
2246,224.7228174,1017,
2247,224.8229022,969,
2248,224.9229871,1026,
2249,225.0230719,987,
2250,225.1231567,975,
2251,225.2232416,991,
2252,225.3233264,923,
2253,225.4234112,957,
2254,225.5234961,1005,
2255,225.6235809,1068,
2256,225.7236657,999,
2257,225.8237506,1017,
2258,225.9238354,1031,
2259,226.0239202,1001,
2260,226.1240051,973,
2261,226.2240899,1025,
2262,226.3241747,997,
2263,226.4242596,967,
2264,226.5243444,1016,
2265,226.6244292,972,
2266,226.7245141,1059,
2267,226.8245989,927,
2268,226.9246837,993,
2269,227.0247686,1010,
2270,227.1248534,1026,
2271,227.2249383,1007,
2272,227.3250231,1020,
2273,227.4251079,940,
2274,227.5251928,1001,
2275,227.6252776,999,
2276,227.7253624,959,
2277,227.8254473,971,
2278,227.9255321,979,
2279,228.0256169,988,
2280,228.1257018,1023,
2281,228.2257866,1044,
2282,228.3258714,992,
2283,228.4259563,1019,
2284,228.5260411,1016,
2285,228.6261259,957,
2286,228.7262108,996,
2287,228.8262956,1019,
2288,228.9263804,950,
2289,229.0264653,949,
2290,229.1265501,959,
2291,229.2266349,1002,
2292,229.3267198,988,
2293,229.4268046,957,
2294,229.5268894,999,
2295,229.6269743,948,
2296,229.7270591,966,
2297,229.8271439,995,
2298,229.9272288,1010,
2299,230.0273136,990,
2300,230.1273984,917,
2301,230.2274833,1017,
2302,230.3275681,940,
2303,230.4276529,960,
2304,230.5277378,925,
2305,230.6278226,969,
2306,230.7279074,1035,
2307,230.8279923,985,
2308,230.9280771,1000,
2309,231.0281619,1003,
2310,231.1282468,960,
2311,231.2283316,957,
2312,231.3284164,926,
2313,231.4285013,1059,
2314,231.5285861,953,
2315,231.6286709,978,
2316,231.7287558,947,
2317,231.8288406,1019,
2318,231.9289254,999,
2319,232.0290103,978,
2320,232.1290951,983,
2321,232.2291799,1023,
2322,232.3292648,1041,
2323,232.4293496,956,
2324,232.5294344,970,
2325,232.6295193,953,
2326,232.7296041,985,
2327,232.8296889,941,
2328,232.9297738,946,
2329,233.0298586,966,
2330,233.1299434,1019,
2331,233.2300283,941,
2332,233.3301131,965,
2333,233.4301979,994,
2334,233.5302828,976,
2335,233.6303676,978,
2336,233.7304524,951,
2337,233.8305373,1004,
2338,233.9306221,990,
2339,234.0307069,978,
2340,234.1307918,919,
2341,234.2308766,971,
2342,234.3309615,899,
2343,234.4310463,931,
2344,234.5311311,962,
2345,234.631216,968,
2346,234.7313008,904,
2347,234.8313856,968,
2348,234.9314705,1024,
2349,235.0315553,968,
2350,235.1316401,918,
2351,235.231725,990,
2352,235.3318098,961,
2353,235.4318946,937,
2354,235.5319795,986,
2355,235.6320643,956,
2356,235.7321491,987,
2357,235.832234,953,
2358,235.9323188,888,
2359,236.0324036,1007,
2360,236.1324885,967,
2361,236.2325733,947,
2362,236.3326581,945,
2363,236.432743,920,
2364,236.5328278,945,
2365,236.6329126,867,
2366,236.7329975,977,
2367,236.8330823,950,
2368,236.9331671,943,
2369,237.033252,905,
2370,237.1333368,915,
2371,237.2334216,925,
2372,237.3335065,949,
2373,237.4335913,1028,
2374,237.5336761,956,
2375,237.633761,956,
2376,237.7338458,948,
2377,237.8339306,920,
2378,237.9340155,941,
2379,238.0341003,998,
2380,238.1341851,973,
2381,238.23427,965,
2382,238.3343548,906,
2383,238.4344396,972,
2384,238.5345245,970,
2385,238.6346093,1004,
2386,238.7346941,981,
2387,238.834779,1052,
2388,238.9348638,1030,
2389,239.0349486,945,
2390,239.1350335,964,
2391,239.2351183,944,
2392,239.3352031,965,
2393,239.435288,973,
2394,239.5353728,933,
2395,239.6354576,931,
2396,239.7355425,941,
2397,239.8356273,1035,
2398,239.9357121,927,
2399,240.035797,896,
2400,240.1358818,910,
2401,240.2359666,936,
2402,240.3360515,897,
2403,240.4361363,923,
2404,240.5362211,901,
2405,240.636306,915,
2406,240.7363908,953,
2407,240.8364756,910,
2408,240.9365605,940,
2409,241.0366453,953,
2410,241.1367301,931,
2411,241.236815,951,
2412,241.3368998,939,
2413,241.4369847,940,
2414,241.5370695,928,
2415,241.6371543,994,
2416,241.7372392,926,
2417,241.837324,930,
2418,241.9374088,949,
2419,242.0374937,979,
2420,242.1375785,977,
2421,242.2376633,881,
2422,242.3377482,972,
2423,242.437833,931,
2424,242.5379178,938,
2425,242.6380027,969,
2426,242.7380875,919,
2427,242.8381723,914,
2428,242.9382572,902,
2429,243.038342,855,
2430,243.1384268,925,
2431,243.2385117,881,
2432,243.3385965,942,
2433,243.4386813,965,
2434,243.5387662,870,
2435,243.638851,915,
2436,243.7389358,910,
2437,243.8390207,888,
2438,243.9391055,907,
2439,244.0391903,871,
2440,244.1392752,925,
2441,244.23936,890,
2442,244.3394448,924,
2443,244.4395297,871,
2444,244.5396145,920,
2445,244.6396993,902,
2446,244.7397842,865,
2447,244.839869,844,
2448,244.9399538,962,
2449,245.0400387,923,
2450,245.1401235,921,
2451,245.2402083,929,
2452,245.3402932,904,
2453,245.440378,982,
2454,245.5404628,929,
2455,245.6405477,851,
2456,245.7406325,928,
2457,245.8407173,876,
2458,245.9408022,908,
2459,246.040887,878,
2460,246.1409718,872,
2461,246.2410567,931,
2462,246.3411415,899,
2463,246.4412263,843,
2464,246.5413112,966,
2465,246.641396,916,
2466,246.7414808,898,
2467,246.8415657,929,
2468,246.9416505,906,
2469,247.0417353,899,
2470,247.1418202,928,
2471,247.241905,877,
2472,247.3419898,890,
2473,247.4420747,871,
2474,247.5421595,961,
2475,247.6422443,895,
2476,247.7423292,928,
2477,247.842414,911,
2478,247.9424988,839,
2479,248.0425837,900,
2480,248.1426685,852,
2481,248.2427533,893,
2482,248.3428382,889,
2483,248.442923,877,
2484,248.5430079,952,
2485,248.6430927,897,
2486,248.7431775,907,
2487,248.8432624,865,
2488,248.9433472,863,
2489,249.043432,929,
2490,249.1435169,896,
2491,249.2436017,897,
2492,249.3436865,938,
2493,249.4437714,859,
2494,249.5438562,941,
2495,249.643941,873,
2496,249.7440259,887,
2497,249.8441107,929,
2498,249.9441955,879,
2499,250.0442804,929,
2500,250.1443652,900,
2501,250.24445,869,
2502,250.3445349,903,
2503,250.4446197,848,
2504,250.5447045,854,
2505,250.6447894,865,
2506,250.7448742,893,
2507,250.844959,836,
2508,250.9450439,949,
2509,251.0451287,885,
2510,251.1452135,899,
2511,251.2452984,867,
2512,251.3453832,881,
2513,251.445468,929,
2514,251.5455529,963,
2515,251.6456377,915,
2516,251.7457225,918,
2517,251.8458074,884,
2518,251.9458922,837,
2519,252.045977,911,
2520,252.1460619,905,
2521,252.2461467,869,
2522,252.3462315,890,
2523,252.4463164,931,
2524,252.5464012,919,
2525,252.646486,911,
2526,252.7465709,863,
2527,252.8466557,866,
2528,252.9467405,883,
2529,253.0468254,907,
2530,253.1469102,867,
2531,253.246995,916,
2532,253.3470799,905,
2533,253.4471647,881,
2534,253.5472495,958,
2535,253.6473344,892,
2536,253.7474192,865,
2537,253.847504,829,
2538,253.9475889,853,
2539,254.0476737,827,
2540,254.1477585,883,
2541,254.2478434,873,
2542,254.3479282,902,
2543,254.448013,850,
2544,254.5480979,889,
2545,254.6481827,884,
2546,254.7482675,849,
2547,254.8483524,974,
2548,254.9484372,905,
2549,255.048522,882,
2550,255.1486069,849,
2551,255.2486917,925,
2552,255.3487765,841,
2553,255.4488614,892,
2554,255.5489462,826,
2555,255.6490311,881,
2556,255.7491159,887,
2557,255.8492007,912,
2558,255.9492856,882,
2559,256.0493704,842,
2560,256.1494552,898,
2561,256.2495401,892,
2562,256.3496249,863,
2563,256.4497097,892,
2564,256.5497946,854,
2565,256.6498794,891,
2566,256.7499642,842,
2567,256.8500491,908,
2568,256.9501339,861,
2569,257.0502187,878,
2570,257.1503036,866,
2571,257.2503884,872,
2572,257.3504732,906,
2573,257.4505581,871,
2574,257.5506429,870,
2575,257.6507277,842,
2576,257.7508126,822,
2577,257.8508974,901,
2578,257.9509822,824,
2579,258.0510671,871,
2580,258.1511519,861,
2581,258.2512367,863,
2582,258.3513216,866,
2583,258.4514064,889,
2584,258.5514912,854,
2585,258.6515761,856,
2586,258.7516609,894,
2587,258.8517457,847,
2588,258.9518306,824,
2589,259.0519154,898,
2590,259.1520002,906,
2591,259.2520851,889,
2592,259.3521699,857,
2593,259.4522547,838,
2594,259.5523396,899,
2595,259.6524244,822,
2596,259.7525092,819,
2597,259.8525941,838,
2598,259.9526789,803,
2599,260.0527637,865,
2600,260.1528486,843,
2601,260.2529334,858,
2602,260.3530182,879,
2603,260.4531031,869,
2604,260.5531879,870,
2605,260.6532727,898,
2606,260.7533576,914,
2607,260.8534424,882,
2608,260.9535272,852,
2609,261.0536121,868,
2610,261.1536969,897,
2611,261.2537817,903,
2612,261.3538666,882,
2613,261.4539514,862,
2614,261.5540362,892,
2615,261.6541211,815,
2616,261.7542059,798,
2617,261.8542907,848,
2618,261.9543756,857,
2619,262.0544604,840,
2620,262.1545452,856,
2621,262.2546301,867,
2622,262.3547149,810,
2623,262.4547997,876,
2624,262.5548846,833,
2625,262.6549694,887,
2626,262.7550543,853,
2627,262.8551391,881,
2628,262.9552239,853,
2629,263.0553088,878,
2630,263.1553936,843,
2631,263.2554784,806,
2632,263.3555633,869,
2633,263.4556481,855,
2634,263.5557329,860,
2635,263.6558178,886,
2636,263.7559026,845,
2637,263.8559874,876,
2638,263.9560723,867,
2639,264.0561571,870,
2640,264.1562419,871,
2641,264.2563268,828,
2642,264.3564116,787,
2643,264.4564964,877,
2644,264.5565813,849,
2645,264.6566661,883,
2646,264.7567509,839,
2647,264.8568358,867,
2648,264.9569206,875,
2649,265.0570054,859,
2650,265.1570903,852,
2651,265.2571751,851,
2652,265.3572599,876,
2653,265.4573448,845,
2654,265.5574296,847,
2655,265.6575144,850,
2656,265.7575993,878,
2657,265.8576841,854,
2658,265.9577689,850,
2659,266.0578538,863,
2660,266.1579386,833,
2661,266.2580234,834,
2662,266.3581083,851,
2663,266.4581931,784,
2664,266.5582779,824,
2665,266.6583628,837,
2666,266.7584476,820,
2667,266.8585324,855,
2668,266.9586173,843,
2669,267.0587021,847,
2670,267.1587869,823,
2671,267.2588718,831,
2672,267.3589566,845,
2673,267.4590414,851,
2674,267.5591263,858,
2675,267.6592111,845,
2676,267.7592959,899,
2677,267.8593808,845,
2678,267.9594656,849,
2679,268.0595504,884,
2680,268.1596353,825,
2681,268.2597201,936,
2682,268.3598049,852,
2683,268.4598898,855,
2684,268.5599746,905,
2685,268.6600594,851,
2686,268.7601443,875,
2687,268.8602291,863,
2688,268.9603139,868,
2689,269.0603988,849,
2690,269.1604836,874,
2691,269.2605684,839,
2692,269.3606533,850,
2693,269.4607381,845,
2694,269.5608229,837,
2695,269.6609078,877,
2696,269.7609926,854,
2697,269.8610775,857,
2698,269.9611623,895,
2699,270.0612471,812,
2700,270.161332,849,
2701,270.2614168,883,
2702,270.3615016,895,
2703,270.4615865,859,
2704,270.5616713,867,
2705,270.6617561,838,
2706,270.761841,842,
2707,270.8619258,759,
2708,270.9620106,852,
2709,271.0620955,818,
2710,271.1621803,904,
2711,271.2622651,831,
2712,271.36235,838,
2713,271.4624348,789,
2714,271.5625196,848,
2715,271.6626045,829,
2716,271.7626893,833,
2717,271.8627741,842,
2718,271.962859,854,
2719,272.0629438,774,
2720,272.1630286,846,
2721,272.2631135,832,
2722,272.3631983,862,
